"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
1.44,-35.1619417222769,-0.733803791092708
1.45,-35.1720090068757,-0.934182626966937
1.46,-35.1821558344223,-1.13456586068073
1.47,-35.192382099742,-1.33495333444304
1.48,-35.2026876894143,-1.53534489550135
1.49,-35.2130724945487,-1.73574039415582
1.5,-35.2235364261142,-1.93613968417359
1.51,-35.2340793851687,-2.13654262266487
1.52,-35.2447012861689,-2.33694906983622
1.53,-35.2554020454089,-2.53735888959141
1.54,-35.2661815784155,-2.73777194775248
1.55,-35.2770398168371,-2.93818811354671
1.56,-35.2879766804162,-3.13860725935241
1.57,-35.2989921121484,2.94415604748321
1.58,-35.3100860377151,2.74373131520445
1.59,-35.32125839848,2.54330397137392
1.6,-35.3325091416292,2.34287413343022
1.61,-35.3438382146229,2.14244191670779
1.62,-35.3552455616894,1.94200743471813
1.63,-35.3667311421674,1.74157079826759
1.64,-35.3782949012001,1.54113211593642
1.65,-35.3899368092342,1.34069149464703
1.66,-35.401656821632,1.14024903913469
1.67,-35.4134548984365,0.939804852544115
1.68,-35.4253310176817,0.739359035164957
1.69,-35.4372851392518,0.538911687056912
1.7,-35.4493172346763,0.33846290476266
1.71,-35.4614272839528,0.13801278472356
1.72,-35.4736152570868,-0.0624385791890866
1.73,-35.4858811390896,-0.262891094462288
1.74,-35.4982249067122,-0.463344670041937
1.75,-35.5106465395159,-0.663799216438654
1.76,-35.5231460287414,-0.864254645345356
1.77,-35.5357233564775,-1.06471086993005
1.78,-35.5483785113424,-1.26516780548628
1.79,-35.5611114831649,-1.46562536762414
1.8,-35.5739222659746,-1.66608347338729
1.81,-35.5868108503372,-1.86654204128542
1.82,-35.5997772350242,-2.06700099096449
1.83,-35.6128214190881,-2.26746024331251
1.84,-35.625943390614,-2.46791972002588
1.85,-35.6391431578489,-2.66837934432525
1.86,-35.6524207217847,-2.86883903969923
1.87,-35.6657760805857,-3.06929873157851
1.88,-35.6792092389992,3.01342696144141
1.89,-35.692720206602,2.81296749791308
1.9,-35.7063089856482,2.61250825717444
1.91,-35.7199755843805,2.41204931083621
1.92,-35.7337200079837,2.21159072852733
1.93,-35.7475422734462,2.01113258063768
1.94,-35.7614423918948,1.81067493566313
1.95,-35.7754203689894,1.61021786131124
1.96,-35.7894762174711,1.40976142501364
1.97,-35.8036099615403,1.20930569307274
1.98,-35.8178216047011,1.00885073153097
1.99,-35.832111167619,0.808396605047506
2,-35.8464786683824,0.607943378869456
2.01,-35.8609241215853,0.407491115825859
2.02,-35.8754475471364,0.207039879524762
2.03,-35.8900489640753,0.00658973238606939
2.04,-35.9047283955435,-0.193859263545995
2.05,-35.9194858589561,-0.39430704703401
2.06,-35.9343213766456,-0.594753557175584
2.07,-35.9492349673609,-0.795198733628391
2.08,-35.9642266603614,-0.995642516165665
2.09,-35.9792964735075,-1.19608484616434
2.1,-35.9944444333841,-1.39652566445314
2.11,-36.0096705665704,-1.59696491265635
2.12,-36.0249748947367,-1.79740253287486
2.13,-36.040357448756,-1.99783846772781
2.14,-36.0558182482516,-2.19827265988079
2.15,-36.0713573201512,-2.39870505250257
2.16,-36.0869746991852,-2.59913558986339
2.17,-36.1026704050853,-2.79956421563342
2.18,-36.1184444730943,-2.99999087418642
2.19,-36.1342969255982,3.08276979684681
2.2,-36.1502277983617,2.88234723788812
2.21,-36.1662371128799,2.68192681085887
2.22,-36.1823249042341,2.48150856983266
2.23,-36.1984911995411,2.28109256935163
2.24,-36.2147360261922,2.08067886218034
2.25,-36.2310594254558,1.88026750280552
2.26,-36.2474614163771,1.67985854365246
2.27,-36.263942035544,1.47945203800469
2.28,-36.2805013151342,1.27904803855755
2.29,-36.2971392878766,1.07864659753915
2.3,-36.3138559814637,0.878247767366608
2.31,-36.3306514250571,0.677851600371138
2.32,-36.3475256567263,0.477458148033593
2.33,-36.3644787110378,0.277067462309843
2.34,-36.3815106149118,0.0766795943760166
2.35,-36.3986213978866,-0.123705404229617
2.36,-36.4158110993596,-0.324087482420997
2.37,-36.4330797493302,-0.524466589241936
2.38,-36.4504273792777,-0.724842673694793
2.39,-36.4678540199767,-0.925215684738217
2.4,-36.485359708956,-1.12558557219561
2.41,-36.5029444771341,-1.32595228544787
2.42,-36.5206083557564,-1.52631577405955
2.43,-36.538351379045,-1.72667598769332
2.44,-36.5561735775811,-1.92703287622562
2.45,-36.5740749828306,-2.12738638922746
2.46,-36.5920556350334,-2.32773647721624
2.47,-36.6101155567773,-2.52808308965933
2.48,-36.6282547845998,-2.72842617686212
2.49,-36.6464733468414,-2.92876568907198
2.5,-36.6647712795194,-3.12910157626459
