"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
8.8975,-24.8841442371153,2.68900687500249
8.915,-23.7711724469053,2.65305786960107
8.9325,-22.7899292983715,2.61572162693379
8.95,-21.9141650924532,2.57739589120506
8.9675,-21.1249535296795,2.53833737390784
8.985,-20.4082026869048,2.49871921838854
9.0025,-19.7531403040029,2.45866247414009
9.02,-19.1513491263918,2.41825432721072
9.0375,-18.5961289286903,2.37755915807451
9.055,-18.082060940313,2.3366255135328
9.0725,-17.604702254003,2.29549064940213
9.09,-17.1603663230071,2.25418357517257
9.1075,-16.7459620232817,2.21272714512313
9.125,-16.3588735042312,2.17113952539414
9.1425,-15.9968690443361,2.12943524250921
9.16,-15.6580309184931,2.08762594495527
9.1775,-15.3407007424534,2.04572096412244
9.195,-15.0434363907577,2.00372773239985
9.2125,-14.7649776887588,1.96165209786735
9.23,-14.5042188407402,1.9194985629512
9.2475,-14.2601860900683,1.87727046631958
9.265,-14.0320194875208,1.83497012177172
9.2825,-13.8189579185465,1.79259892404423
9.3,-13.6203267411866,1.75015742876036
9.3175,-13.4355275353046,1.70764541181957
9.335,-13.2640295754152,1.6650619121266
9.3525,-13.105362724051,1.62240526053161
9.37,-12.9591115075079,1.57967309708633
9.3875,-12.8249101861203,1.53686237814073
9.405,-12.702438670683,1.49396937435809
9.4225,-12.5914191679779,1.45098966037534
9.44,-12.4916134636029,1.40791809655452
9.4575,-12.4028207709648,1.36474880303903
9.475,-12.3248760925396,1.32147512613082
9.4925,-12.2576490542247,1.27808959683038
9.51,-12.2010431865438,1.2345838812205
9.5275,-12.1549956381914,1.19094872221977
9.545,-12.1194773184519,1.14717387207583
9.5625,-12.094493475856,1.10324801480437
9.58,-12.0800847314885,1.05915867760065
9.5975,-12.0763285971087,1.01489213004896
9.615,-12.0833415211786,0.970433269721902
9.6325,-12.1012815205903,0.925765492485035
9.65,-12.1303514730394,0.880870545489653
9.6675,-12.1708031654477,0.835728360427597
9.685,-12.2229422186862,0.790316864113964
9.7025,-12.2871340394878,0.744611762822188
9.72,-12.3638109887213,0.69858629597529
9.7375,-12.453481003588,0.652210953733228
9.755,-12.5567379731548,0.6054531516176
9.7725,-12.6742742465191,0.558276853449748
9.79,-12.8068957571848,0.510642131355554
9.8075,-12.9555403848358,0.462504648125611
9.825,-13.1213003593447,0.413815042387913
9.8425,-13.3054497599059,0.364518190204001
9.86,-13.5094785015519,0.31455230683607
9.8775,-13.735134672048,0.263847837975228
9.895,-13.9844777449803,0.212326068143946
9.9125,-14.2599461434214,0.159897341161174
9.93,-14.564444010398,0.106458736596476
9.9475,-14.9014540949592,0.0518909652605602
9.965,-15.2751867774796,-0.00394588469427934
9.9825,-15.6907800977671,-0.0612183389418488
10,-16.1545733699238,-0.120128230602004
