"Freq [GHz]","dB(S(p1,p1)) []","ang_rad(S(p1,p1)) [rad]"
3.27,-28.5878266108816,-1.31588147727877
3.272,-28.390223875609,-1.3365580085434
3.274,-28.1997622255496,-1.35717913157574
3.276,-28.0160823353876,-1.37774137736055
3.278,-27.8388504248788,-1.39824174588596
3.28,-27.6677558309592,-1.4186776607954
3.282,-27.5025088744445,-1.43904692962223
3.284,-27.3428389793243,-1.4593477086983
3.286,-27.1884930094173,-1.47957847199704
3.288,-27.0392337927048,-1.49973798330753
3.29,-26.8948388082405,-1.51982527124404
3.292,-26.7550990143304,-1.53983960668339
3.294,-26.6198177998318,-1.55978048229249
3.296,-26.4888100430632,-1.57964759386613
3.298,-26.3619012650246,-1.59944082324138
3.3,-26.2389268654947,-1.61916022259322
3.302,-26.1197314321409,-1.63880599994709
3.304,-26.0041681141155,-1.65837850576983
3.306,-25.8920980527405,-1.67787822052143
3.308,-25.7833898628537,-1.69730574306779
3.31,-25.6779191592122,-1.71666177986878
3.312,-25.5755681230605,-1.73594713486834
3.314,-25.4762251045773,-1.75516270002311
3.316,-25.3797842574416,-1.77430944641465
3.318,-25.2861452022111,-1.79338841589725
3.32,-25.1952127155992,-1.81240071323937
3.322,-25.1068964430775,-1.83134749872164
3.324,-25.0211106325258,-1.85022998115872
3.326,-24.9377738869112,-1.8690494113158
3.328,-24.8568089342025,-1.88780707569375
3.33,-24.7781424129225,-1.90650429065954
3.332,-24.7017046719154,-1.92514239690078
3.334,-24.6274295830557,-1.94372275418538
3.336,-24.5552543657613,-1.96224673640894
3.338,-24.4851194222881,-1.9807157269141
3.34,-24.4169681828892,-1.99913111406745
3.342,-24.3507469600143,-2.01749428708075
3.344,-24.286404810803,-2.03580663206437
3.346,-24.2238934072022,-2.05406952830195
3.348,-24.1631669130991,-2.07228434473583
3.35,-24.1041818679196,-2.0904524366541
3.352,-24.0468970761941,-2.10857514257055
3.354,-23.9912735026361,-2.12665378128955
3.356,-23.9372741723236,-2.14468964914868
3.358,-23.8848640756068,-2.16268401743236
3.36,-23.8340100774018,-2.18063812995044
3.362,-23.7846808305577,-2.19855320077614
3.364,-23.736846693014,-2.21643041213824
3.366,-23.6904796484892,-2.23427091246294
3.368,-23.645553230462,-2.25207581456112
3.37,-23.6020424492318,-2.26984619395734
3.372,-23.5599237218581,-2.28758308735692
3.374,-23.5191748048014,-2.30528749124825
3.376,-23.4797747290998,-2.32296036063743
3.378,-23.4417037379321,-2.34060260791273
3.38,-23.4049432264324,-2.35821510183671
3.382,-23.3694756836308,-2.37579866666397
3.384,-23.3352846364109,-2.39335408138269
3.386,-23.3023545953814,-2.41088207907838
3.388,-23.270671002571,-2.42838334641844
3.39,-23.2402201808662,-2.44585852325597
3.392,-23.2109892851185,-2.46330820235175
3.394,-23.1829662548566,-2.48073292921322
3.396,-23.1561397685472,-2.49813320204911
3.398,-23.1304991993542,-2.51550947183884
3.4,-23.1060345723539,-2.53286214251533
3.402,-23.0827365231693,-2.55019157126018
3.404,-23.0605962579922,-2.56749806890995
3.406,-23.0396055149689,-2.58478190047216
3.408,-23.0197565269272,-2.60204328574966
3.41,-23.0010419854306,-2.61928240007184
3.412,-22.9834550061474,-2.63649937513081
3.414,-22.9669890955268,-2.65369429992098
3.416,-22.9516381187783,-2.67086722177972
3.418,-22.9373962691533,-2.68801814752705
