"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
2.01,-31.3871519721011,0.0218175381690031
2.02,-31.3077143480137,-0.153709105891397
2.03,-31.2367795675926,-0.329102685137152
2.04,-31.1741745341146,-0.504373245924122
2.05,-31.1197440449542,-0.679530082073749
2.06,-31.0733497165244,-0.854581827982634
2.07,-31.0348690192294,-1.02953654449659
2.08,-31.0041944588717,-1.20440179021294
2.09,-30.981232873933,-1.37918469059674
2.1,-30.9659048335097,-1.55389199651045
2.11,-30.9581441488711,-1.72853013964433
2.12,-30.9578974622247,-1.90310528251447
2.13,-30.9651239253433,-2.07762336469993
2.14,-30.9797949862242,-2.2520901462989
2.15,-31.0018942201991,-2.4265112503417
2.16,-31.0314172620478,-2.60089219986982
2.17,-31.0683718159359,-2.77523845831008
2.18,-31.1127777361117,-2.9495554672432
2.19,-31.1646671881208,-3.12384868217864
2.2,-31.2240848972354,2.98506169462623
2.21,-31.2910884800067,2.81079944722004
2.22,-31.3657488588244,2.63654414831973
2.23,-31.4481507914362,2.46228988714062
2.24,-31.5383934784474,2.28803053118153
2.25,-31.6365913089375,2.11375967715138
2.26,-31.7428747135906,1.93947059621425
2.27,-31.8573911522179,1.76515617430834
2.28,-31.9803062804476,1.5908088467564
2.29,-32.1118052628215,1.41642052320075
2.3,-32.2520942850907,1.24198250350062
2.31,-32.4014022910761,1.06748538242707
2.32,-32.5599829794703,0.892918939411436
2.33,-32.7281170922298,0.718272011878762
2.34,-32.906115005446,0.54353234822587
2.35,-33.0943197591756,0.36868643607102
2.36,-33.2931105151584,0.193719300629425
2.37,-33.5029065265795,0.0186142654437797
2.38,-33.7241717868647,-0.156647329804993
2.39,-33.9574203649769,-0.332086468900025
2.4,-34.203222646265,-0.507726866293395
2.41,-34.4622126279859,-0.683595460116698
2.42,-34.7350964528662,-0.859723014624793
2.43,-35.0226625011015,-1.03614485519696
2.44,-35.3257932654283,-1.21290178330588
2.45,-35.6454795582794,-1.39004120947583
2.46,-35.9828373855833,-1.56761858205851
2.47,-36.3391283048529,-1.74569919332411
2.48,-36.7157839208472,-1.92436049278633
2.49,-37.1144356695417,-2.10369507469359
2.5,-37.5369511356357,-2.2838145806492
2.51,-37.9854786279303,-2.46485485894582
2.52,-38.4625021037502,-2.64698287131383
2.53,-38.9709091029635,-2.83040606572453
2.54,-39.5140750207308,-3.01538529088799
2.55,-40.0959674772019,3.08093242625091
2.56,-40.7212748361197,2.89174688220396
2.57,-41.39556191155,2.69967911204277
2.58,-42.1254517167101,2.50397469251043
2.59,-42.9188201074478,2.3036050799003
2.6,-43.7849582354825,2.09713774199619
2.61,-44.7345769059997,1.88253127116897
2.62,-45.7793231390304,1.65680751154675
2.63,-46.9299670766503,1.41552737400157
2.64,-48.1911479952111,1.15198694229599
2.65,-49.547644300481,0.856177149700154
2.66,-50.9321148482045,0.514304790095482
2.67,-52.1661579978399,0.112319563352396
2.68,-52.9228550382834,-0.349384240407429
2.69,-52.887767358756,-0.835514303293813
2.7,-52.0890447119586,-1.29038539491646
2.71,-50.8625966699112,-1.68375634360875
2.72,-49.5183113990586,-2.01849882909346
2.73,-48.2158730474307,-2.30916139500177
2.74,-47.0127995855774,-2.56908688356179
2.75,-45.9203286882503,-2.80778563302991
2.76,-44.9324662841013,-3.03160187295956
2.77,-44.0381250438604,3.03844518671485
2.78,-43.2257154768613,2.83315679317703
2.79,-42.4846991469588,2.63377359940366
2.8,-41.8059744651745,2.43892663896412
2.81,-41.1818386150347,2.24763003842462
2.82,-40.6058160733151,2.05915864127011
2.83,-40.0724641098016,1.87296865894046
2.84,-39.5771941312874,1.68864510533726
2.85,-39.1161197097523,1.50586622864514
2.86,-38.685931499044,1.32437895761798
2.87,-38.2837957594028,1.14398163126374
2.88,-37.9072725378612,0.964511636045875
2.89,-37.5542495979029,0.785836415664317
2.9,-37.2228890414131,0.607846834705366
2.91,-36.911583944335,0.430452211980802
2.92,-36.6189230242066,0.25357655953837
2.93,-36.3436615974281,0.0771556955316849
2.94,-36.0846977136164,-0.0988649888406406
2.95,-35.8410523039246,-0.27453227975585
