"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
3.385,-8.62112138822712,-2.10895206301544
3.39,-8.59153410275576,-2.13354464270703
3.395,-8.55873218576969,-2.15860341445851
3.4,-8.52313873048393,-2.18416350213751
3.405,-8.48520875490151,-2.21025283828207
3.41,-8.44541997047127,-2.23689196991619
3.415,-8.40426387050332,-2.26409403146255
3.42,-8.3622373428436,-2.29186486190252
3.425,-8.31983497528392,-2.32020325030096
3.43,-8.27754215378657,-2.34910127536606
3.435,-8.23582902982224,-2.37854472340098
3.44,-8.19514534904019,-2.40851355947279
3.445,-8.15591612387117,-2.43898242804948
3.45,-8.11853808915467,-2.46992117315123
3.455,-8.08337687729479,-2.50129535702435
3.46,-8.05076481567634,-2.53306676936749
3.465,-8.0209992644373,-2.56519392306425
3.47,-7.9943413879658,-2.59763252142145
3.475,-7.97101528133613,-2.63033590790961
3.48,-7.95120737843178,-2.66325548539707
3.485,-7.9350660653065,-2.69634111610676
3.49,-7.9227014183559,-2.72954149960166
3.495,-7.91418506541358,-2.76280453343635
3.5,-7.90955008572983,-2.79607766592825
3.505,-7.908790986852,-2.8293082379035
3.51,-7.91186367669553,-2.86244382659649
3.515,-7.91868549479016,-2.89543259376044
3.52,-7.92913531300304,-2.92822364345953
3.525,-7.94305370558646,-2.96076739379845
3.53,-7.960243258445,-2.99301596889779
3.535,-7.98046907652677,-3.02492361173778
3.54,-8.00345953603413,-3.05644712007347
3.545,-8.02890738759829,-3.08754630766879
3.55,-8.05647125245898,-3.11818448365496
3.555,-8.08577764327931,3.13485635621294
3.56,-8.11642356796565,3.10523379287433
3.565,-8.14797983182014,3.07615632062013
3.57,-8.17999504798613,3.04764162644249
3.575,-8.21200050279387,3.01970143376059
3.58,-8.2435157976156,2.99234108969823
3.585,-8.27405534881975,2.96555922298271
3.59,-8.30313562424644,2.93934749677701
3.595,-8.33028306467692,2.91369047548305
3.6,-8.35504248785465,2.88856563295354
3.605,-8.37698580491391,2.86394351632097
3.61,-8.39572078084266,2.83978808271019
3.615,-8.41089950976195,2.81605721181348
3.62,-8.42222633429767,2.7927033994072
