"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
3.52,-8.22437620687866,-2.91341925228389
3.525,-8.22047511994548,-2.94213204667459
3.53,-8.21610715720133,-2.97081354652983
3.535,-8.2113060268841,-2.99946660209736
3.54,-8.2061177691455,-3.02809353212603
3.545,-8.2006001375418,-3.05669588150169
3.55,-8.19482154428391,-3.08527418267714
3.555,-8.1888595687537,-3.11382773649931
3.56,-8.18279908323659,3.14083088587379
3.565,-8.17673002212429,3.11233476841044
3.57,-8.17074487712121,3.08387460031727
3.575,-8.16493599517662,3.05545750310524
3.58,-8.15939277823376,3.0270923369302
3.585,-8.1541988709941,2.99878964118541
3.59,-8.14942945105532,2.97056151860001
3.595,-8.14514870269056,2.94242146328865
3.6,-8.14140757370524,2.91438414079745
3.605,-8.13824188680358,2.886465123882
3.61,-8.13567086850377,2.85868059540766
3.615,-8.13369614778129,2.83104702586165
3.62,-8.13230125263658,2.80358083753935
3.625,-8.1314516100862,2.77629806537377
3.63,-8.13109505366411,2.74921402609439
3.635,-8.13116280103152,2.72234300528246
3.64,-8.13157086660514,2.69569797279423
3.645,-8.13222184069468,2.66929033549721
3.65,-8.13300697998546,2.64312973105575
3.655,-8.13380850447113,2.61722387263299
3.66,-8.13450202630159,2.59157844169562
3.665,-8.13495902259789,2.566197034184
3.67,-8.13504924325716,2.54108115477996
3.675,-8.13464300274562,2.51623025636297
3.68,-8.13361325792043,2.49164181886731
3.685,-8.13183743241698,2.46731145922371
3.69,-8.12919895594199,2.4432330635283
3.695,-8.12558849445616,2.41939893268577
3.7,-8.12090488652283,2.39579993212845
3.705,-8.11505581596072,2.37242563593972
3.71,-8.10795826381247,2.3492644622986
3.715,-8.09953879399618,2.32630379048332
3.72,-8.08973376174758,2.30353006099275
3.725,-8.07848948494638,2.28092885682447
3.73,-8.06576247865445,2.25848496930682
3.735,-8.05151977034439,2.23618245363412
3.74,-8.03573937141469,2.21400468057176
3.745,-8.01841087939219,2.19193439234709
3.75,-7.99953625266399,2.16995377311967
3.755,-7.97913067450891,2.14804453745965
3.76,-7.95722348546884,2.12618805113703
3.765,-7.93385909500431,2.10436548130338
3.77,-7.90909779216565,2.08255798363144
3.775,-7.88301633686748,2.06074692420872
3.78,-7.8557082714078,2.03891413004585
3.785,-7.8272838375598,2.01704216344484
3.79,-7.79786944589685,1.99511460840594
3.795,-7.76760665434721,1.97311635790068
3.8,-7.73665062946726,1.9510338861215
3.805,-7.70516811893185,1.92885549413227
3.81,-7.67333498550031,1.90657151337521
3.815,-7.64133336524552,1.88417445474948
3.82,-7.60934856660878,1.86165909514858
3.825,-7.57756583724798,1.83902249251703
3.83,-7.54616711678743,1.81626392692914
3.835,-7.51532792721193,1.79338476881198
3.84,-7.48521454945265,1.7703882769224
3.845,-7.45598158097196,1.74727933360516
3.85,-7.42777001014286,1.7240641298746
3.855,-7.40070589283126,1.7007498103612
3.86,-7.37489966741694,1.67734409562499
3.865,-7.35044617802043,1.6538548962922
3.87,-7.32742536515117,1.63028993650795
3.875,-7.30590362528616,1.60665640214491
3.88,-7.28593576532904,1.58296062920154
3.885,-7.26756747315835,1.55920784587077
3.89,-7.25083818468675,1.53540197796212
3.895,-7.23578424479201,1.51154552762512
3.9,-7.22244219485679,1.48763952718046
3.905,-7.21085207192779,1.46368357272495
3.91,-7.20106056028108,1.4396759298539
3.915,-7.19312388199809,1.41561371086909
3.92,-7.18711028802116,1.39149311027042
3.925,-7.183102087626,1.36730968721877
3.93,-7.18119713079796,1.34305868228913
3.935,-7.18150972292939,1.31873535137708
3.94,-7.18417095279095,1.29433530362807
3.945,-7.18932849595995,1.26985482570534
3.95,-7.19714592823371,1.24529118121028
3.955,-7.20780164762994,1.22064287348162
3.96,-7.22148751170064,1.19590986300005
3.965,-7.23840731346279,1.17109373521943
3.97,-7.25877521147768,1.14619781595466
3.975,-7.28281427039448,1.12122723882386
3.98,-7.31075520287641,1.09618896778561
3.985,-7.34283543894631,1.07109178511014
3.99,-7.37929862022308,1.04594625623035
3.995,-7.42039457241953,1.02076468523043
4,-7.4663798227238,0.995561076845552
