"Freq [GHz]","mag(S(Tx_p1,Tx_p1)) []","ang_rad(S(Tx_p1,Tx_p1)) [rad]"
2,0.00499727062935599,-2.77501028571282
2.01,0.00499350184041431,-3.02404303343828
2.02,0.00498971580943353,3.01010848604576
2.03,0.00498591258220242,2.76107369359135
2.04,0.00498209220864635,2.51203793138847
2.05,0.00497825473398133,2.26300123318261
2.06,0.00497440020648822,2.01396363281583
2.07,0.00497052867244954,1.76492516317004
2.08,0.00496664017844833,1.51588585706612
2.09,0.00496273477191037,1.26684574643855
2.1,0.00495881249941464,1.0178048629596
2.11,0.00495487340576174,0.768763237752768
2.12,0.00495091754032356,0.519720901487846
2.13,0.00494694494673724,0.270677884292027
2.14,0.00494295567362502,0.0216342158112725
2.15,0.00493894976444986,-0.227410074409921
2.16,0.00493492726759659,-0.476454957393833
2.17,0.00493088822854801,-0.725500404743459
2.18,0.00492683269194307,-0.974546388212702
2.19,0.00492276070576257,-1.22359288021982
2.2,0.004918672315136,-1.47263985346821
2.21,0.00491456756555972,-1.72168728075007
2.22,0.00491044650223935,-1.97073513548672
2.23,0.00490630917265159,-2.21978339158096
2.24,0.0049021556219038,-2.46883202290425
2.25,0.00489798589573805,-2.71788100380736
2.26,0.00489380003958917,-2.96693030924707
2.27,0.00488959809881395,3.06720539306548
2.28,0.00488538012059509,2.81815551332454
2.29,0.00488114614918238,2.56910538321824
2.3,0.00487689623146017,2.32005502661628
2.31,0.00487263041103325,2.07100446738912
2.32,0.0048683487372395,1.8219537289988
2.33,0.00486405125180445,1.57290283444402
2.34,0.00485973800339534,1.323851806781
2.35,0.00485540903629621,1.07480066891731
2.36,0.00485106439661542,0.825749442908756
2.37,0.00484670413021305,0.576698150884339
2.38,0.00484232828300334,0.327646814939908
2.39,0.00483793690040098,0.0785954568965526
2.4,0.00483353002911391,-0.170455902121342
2.41,0.00482910771377888,-0.419507240921203
2.42,0.00482467000183256,-0.668558538210768
2.43,0.00482021693749918,-0.917609773317306
2.44,0.00481574856834732,-1.16666092617255
2.45,0.00481126493948663,-1.41571197571063
2.46,0.00480676609771303,-1.66476290222224
2.47,0.00480225208849673,-1.91381368567775
2.48,0.00479772295808987,-2.16286430626318
2.49,0.00479317875296416,-2.41191474455059
2.5,0.00478861951975784,-2.66096498113497
2.51,0.00478404530351516,-2.91001499678524
2.52,0.00477945615152148,3.12412053483509
2.53,0.00477485211098913,2.87507101798624
2.54,0.00477023322639674,2.62602177863607
2.55,0.00476559954653619,2.37697283522989
2.56,0.00476095111631465,2.12792420621653
2.57,0.00475628798322473,1.87887590978341
2.58,0.00475161019327299,1.62982796375944
2.59,0.00474691779376721,1.38078038627268
2.6,0.00474221083265961,1.13173319493403
2.61,0.00473748935430687,0.882686407578331
2.62,0.00473275340755296,0.633640041218523
2.63,0.0047280030397648,0.384594113607724
2.64,0.00472323829705992,0.135548641834368
2.65,0.00471845922634769,-0.113496357139531
2.66,0.00471366587598842,-0.362540866435627
2.67,0.00470885829230248,-0.611584869016322
2.68,0.00470403652403393,-0.860628348388238
2.69,0.00469920061820539,-1.10967128765557
2.7,0.00469435062122736,-1.35871367085959
2.71,0.00468948658176452,-1.60775548130852
2.72,0.00468460854682629,-1.85679670277697
2.73,0.00467971656651278,-2.10583731938137
2.74,0.00467481068555356,-2.3548773147968
2.75,0.00466989095321447,-2.60391667333387
2.76,0.00466495741849818,-2.85295537903221
2.77,0.00466001012861962,-3.10199341606165
2.78,0.00465504913129419,2.93215453813911
2.79,0.00465007447583483,2.68311788494453
2.8,0.00464508621085287,2.4340819468372
2.81,0.00464008438348517,2.18504673919716
2.82,0.00463506904241011,1.93601227754699
2.83,0.00463004023750682,1.68697857678669
2.84,0.00462499801691113,1.4379456521367
2.85,0.00461994242916846,1.18891351873884
2.86,0.0046148735233588,0.939882191340556
2.87,0.00460979134901968,0.690851684795904
