"Freq [GHz]","mag(S(Tx_p1,Tx_p1)) []","ang_rad(S(Tx_p1,Tx_p1)) [rad]"
2.22,0.0015405379586298,0.0990013222124502
2.23,0.00153922949428113,-0.197380955389689
2.24,0.00153791595307183,-0.493763371262992
2.25,0.00153659734814267,-0.790145902968459
2.26,0.00153527369388888,-1.08652852893474
2.27,0.00153394500423193,-1.38291122642464
2.28,0.0015326112927283,-1.67929397405816
2.29,0.00153127257401794,-1.9756767501753
2.3,0.00152992885980959,-2.27205953409941
2.31,0.00152858016598502,-2.56844230398564
2.32,0.00152722650550791,-2.86482503998947
2.33,0.00152586789309558,3.1219775859196
2.34,0.00152450434118171,2.82559497961828
2.35,0.00152313586507268,2.52921246853392
2.36,0.0015217624778699,2.23283007253252
2.37,0.00152038419405456,1.93644781077045
2.38,0.00151900102673518,1.64006570312526
2.39,0.00151761299132543,1.34368376871121
2.4,0.00151622010005418,1.04730202651764
2.41,0.00151482236815122,0.750920495806328
2.42,0.00151341981003827,0.454539194295392
2.43,0.00151201243829345,0.15815814160728
2.44,0.00151060026795249,-0.138222644537382
2.45,0.0015091833124552,-0.434603146046562
2.46,0.00150776158715765,-0.730983344393373
2.47,0.00150633510584576,-1.0273632225227
2.48,0.00150490388177642,-1.32374276209198
2.49,0.00150346792949396,-1.62012194592873
2.5,0.00150202726406975,-1.9165007565718
2.51,0.00150058189853814,-2.21287917695429
2.52,0.0014991318479105,-2.50925718962589
2.53,0.00149767712689015,-2.80563477820356
2.54,0.00149621774882495,-3.1020119254801
2.55,0.00149475372847222,2.88479669228986
2.56,0.0014932850803473,2.58842047727721
2.57,0.0014918118183222,2.29204475292374
2.58,0.00149033395746638,1.99566953562281
2.59,0.0014888515118769,1.6992948415402
2.6,0.0014873644970508,1.40292068672886
2.61,0.00148587292530474,1.10654708691991
2.62,0.00148437681303045,0.810174058567031
2.63,0.00148287617431905,0.513801616330161
2.64,0.001481371023757,0.217429776499451
2.65,0.00147986137632487,-0.0789414455062007
2.66,0.00147834724541795,-0.375312034345766
2.67,0.00147682864648972,-0.671681974954166
2.68,0.00147530559446802,-0.968051251457937
2.69,0.00147377810458359,-1.26441984972268
2.7,0.00147224618995911,-1.56078775410833
2.71,0.00147070986695335,-1.85715494990698
2.72,0.00146916914987028,-2.15352142225221
2.73,0.00146762405329364,-2.44988715600976
2.74,0.00146607459275741,-2.7462521373965
2.75,0.00146452078245176,-3.04261635118315
2.76,0.00146296263718532,2.94420552413396
2.77,0.00146140017307688,2.64784288875209
2.78,0.00145983340418177,2.35148106433706
2.79,0.00145826234546788,2.05512006438389
2.8,0.0014566870126106,1.75875990382311
2.81,0.00145510742019126,1.46240059657013
2.82,0.00145352358430914,1.1660421568412
2.83,0.00145193551887725,0.869684598491518
2.84,0.0014503432390421,0.573327935621376
2.85,0.00144874676200997,0.276972181607259
2.86,0.00144714610053684,-0.0193826489695534
2.87,0.0014455412712584,-0.315736542744409
2.88,0.00144393228874624,-0.612089486249431
2.89,0.00144231916954885,-0.908441465368244
2.9,0.00144070192793768,-1.20479246668523
2.91,0.00143908057982369,-1.50114247663977
2.92,0.00143745514067248,-1.79749148173776
2.93,0.00143582562569822,-2.09383946847724
2.94,0.00143419204995337,-2.39018642362724
2.95,0.00143255443060826,-2.68653233400169
2.96,0.00143091278163233,-2.98287718565214
2.97,0.0014292671189403,3.0039643414189
2.98,0.0014276174589041,2.70762164620666
2.99,0.00142596381640069,2.41128004895878
3,0.00142430620777987,2.11493956311523
3.01,0.00142264464790319,1.8186002015872
3.02,0.00142097915371738,1.52226197738865
3.03,0.00141930974039202,1.22592490379907
3.04,0.00141763642293896,0.929588993555652
3.05,0.00141595921843202,0.633254259792014
3.06,0.001414278142288,0.336920715476034
3.07,0.00141259321064442,0.0405883735363177
3.08,0.0014109044387426,-0.255742753166136
3.09,0.00140921184334235,-0.552072651927285
3.1,0.00140751544084494,-0.848401309437934
3.11,0.00140581524616914,-1.14472871318767
3.12,0.00140411127603025,-1.44105485048707
3.13,0.00140240354646182,-1.73737970845679
3.14,0.00140069207372186,-2.03370327424031
3.15,0.00139897687337238,-2.3300255354295
3.16,0.0013972579624786,-2.62634647877655
3.17,0.00139553535673454,-2.92266609199646
3.18,0.00139380907343825,3.06420094479212
3.19,0.0013920791268134,2.76788403004073
3.2,0.00139034553503204,2.47156848349393
3.21,0.0013886083136657,2.17525431787313
3.22,0.00138686747983298,1.87894154549843
3.23,0.00138512304923137,1.58263017943386
3.24,0.00138337503806287,1.2863202319795
3.25,0.00138162346388817,0.990011715903454
3.26,0.00137986834260444,0.693704643163646
3.27,0.0013781096901545,0.397399027434333
3.28,0.00137634752411933,0.101094880404907
3.29,0.00137458186191477,-0.195207785052835
3.3,0.00137281271817311,-0.491508956329399
3.31,0.0013710401101461,-0.787808621299808
3.32,0.00136926405562809,-1.08410676713972
3.33,0.00136748457029381,-1.38040338101974
3.34,0.00136570167071548,-1.67669845081235
3.35,0.00136391537582228,-1.97299196365595
3.36,0.00136212569992833,-2.26928390733956
3.37,0.00136033266072559,-2.56557426941318
3.38,0.00135853627601029,-2.86186303700108
3.39,0.0013567365609513,3.12503510956183
3.4,0.00135493353438994,2.82874956829393
3.41,0.00135312721239571,2.53246565912005
3.42,0.00135131761207381,2.23618339411992
3.43,0.00134950475063236,1.9399027863541
3.44,0.00134768864442313,1.64362384836885
3.45,0.00134586931210109,1.34734659245516
3.46,0.00134404676870699,1.05107103099268
3.47,0.00134222103380222,0.754797177289024
3.48,0.00134039212285074,0.458525043318669
3.49,0.00133856005373271,0.162254641818834
3.5,0.00133672484367247,-0.134014014685392
3.51,0.00133488651091562,-0.430280913236675
3.52,0.00133304507067525,-0.726546041813707
3.53,0.00133120054203106,-1.02280938733439
3.54,0.00132935294115573,-1.31907093696492
3.55,0.00132750228671782,-1.61533067856423
3.56,0.00132564859555017,-1.91158859924169
3.57,0.0013237918852501,-2.2078446862895
3.58,0.00132193217333143,-2.50409892641982
3.59,0.00132006947720903,-2.80035130803699
3.6,0.00131820381477461,-3.09660181781615
3.61,0.00131633520337668,2.89033486419686
3.62,0.00131446366080868,2.59408813637388
3.63,0.00131258920450355,2.2978433187928
3.64,0.00131071185174025,2.00160042419705
3.65,0.00130883162137184,1.70535946517168
3.66,0.00130694853017732,1.40912045471374
3.67,0.0013050625971956,1.11288340607332
3.68,0.0013031738385097,0.816648331529572
3.69,0.00130128227291096,0.520415244376231
3.7,0.00129938791815917,0.224184157476514
