"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
4.8025,-15.4415355188607,1.93605253570219
4.82,-15.7627101627279,1.87393525546928
4.8375,-16.1000997761365,1.80988452803468
4.855,-16.4540313465576,1.74364406680884
4.8725,-16.8246938024684,1.67491818459852
4.89,-17.2120681264421,1.60336585335949
4.9075,-17.6158310470917,1.52859461778539
4.925,-18.0352237293877,1.45015500435711
4.9425,-18.4688753006866,1.36753659718728
4.96,-18.9145704951643,1.28016778045039
4.9775,-19.3689528970825,1.18742236684236
4.995,-19.8271633535378,1.0886379701403
5.0125,-20.2824321070962,0.98315284577455
5.03,-20.7256794745536,0.870369309134741
5.0475,-21.1452381100836,0.749851103896224
5.065,-21.5268842126779,0.621456394895807
5.0825,-21.8544240208213,0.485494141283158
5.1,-22.1110562947741,0.342868944429461
5.1175,-22.2815342743936,0.19515593761637
5.135,-22.3547634320355,0.0445422514237195
5.1525,-22.3260606134694,-0.106394215925427
5.17,-22.1981976722431,-0.255027733641844
5.1875,-21.9807730943367,-0.399043507234971
5.205,-21.6881901501361,-0.53669735703708
5.2225,-21.3370602947787,-0.666915775377171
5.24,-20.9438759443678,-0.789249930693324
5.2575,-20.5234316556352,-0.903742536644838
5.275,-20.088054594875,-1.01077005640152
5.2925,-19.6474550991468,-1.1109017193094
5.31,-19.2089459122497,-1.20479272037372
5.3275,-18.7778239692527,-1.2931126228298
5.345,-18.3577833956659,-1.37650244868155
5.3625,-17.9512920340848,-1.45555224149814
5.38,-17.559905510555,-1.53079192854794
5.3975,-17.1845156615198,-1.60269014882803
5.415,-16.8255404848212,-1.6716574433283
5.4325,-16.483066125309,-1.73805153402664
5.45,-16.1569513489674,-1.80218333951628
5.4675,-15.8469035345358,-1.86432297247306
5.485,-15.5525334445679,-1.92470533281623
5.5025,-15.2733943821802,-1.98353512832678
5.52,-15.0090099544927,-2.04099127746857
5.5375,-14.7588935712116,-2.09723071442342
5.555,-14.5225619741232,-2.15239164762999
5.5725,-14.2995444717721,-2.20659633506593
5.59,-14.0893890956884,-2.25995344095841
5.6075,-13.8916665598063,-2.31256003474171
5.625,-13.7059726611875,-2.36450328687083
5.6425,-13.531929583404,-2.41586190919214
5.66,-13.3691864357849,-2.46670738082593
