"Freq [GHz]","mag(S(Rx_p1,Tx_p1)) []","ang_rad(S(Rx_p1,Tx_p1)) [rad]"
1.57,0.0150972987936633,-0.419607164609422
1.58,0.0151348427570911,-0.573248698786768
1.59,0.0151527943102897,-0.727182412913298
1.6,0.0151508580485753,-0.881285368937982
1.61,0.0151289401348874,-1.03543491694792
1.62,0.0150871470016838,-1.18950849512058
1.63,0.0150257840778344,-1.34338341725934
1.64,0.0149453545218021,-1.49693668261355
1.65,0.0148465579308944,-1.65004484596776
1.66,0.0147302889558521,-1.80258398569891
1.67,0.0145976356209638,-1.95442981393374
1.68,0.0144498772995416,-2.10545797653015
1.69,0.0142884819133985,-2.25554460016539
1.7,0.01411510224938,-2.40456714312583
1.71,0.0139315707441299,-2.55240562288375
1.72,0.0137398923758624,-2.6989442833691
1.73,0.0135422349406207,-2.84407377252045
1.74,0.0133409159930128,-2.98769388271152
1.75,0.0131383855474635,-3.12971688750292
1.76,0.0129372036567463,3.01311383943379
1.77,0.0127400119225108,2.87447814575049
1.78,0.0125494981279649,2.73758611582075
1.79,0.0123683534320557,2.60243188152163
1.8,0.0121992219341497,2.46897418944061
1.81,0.0120446432509101,2.33713234791724
1.82,0.0119069893311259,2.20678340170201
1.83,0.0117883978822333,2.07776110088448
1.84,0.0116907056935727,1.94985717239456
1.85,0.0116153859725046,1.82282523621362
1.86,0.0115634941722677,1.6963874502669
1.87,0.011535626911949,1.57024362474903
1.88,0.0115318975236024,1.44408221295134
1.89,0.0115519307767856,1.31759228924791
1.9,0.0115948773062305,1.19047547225992
1.91,0.0116594466081608,1.0624567584997
1.92,0.0117439556425719,0.933293406920477
1.93,0.0118463889354056,0.802781305473111
1.94,0.011964465650295,0.67075860798895
1.95,0.0120957089232383,0.537106748404539
1.96,0.0122375135323895,0.401749201007278
1.97,0.0123872088892584,0.264648499228835
1.98,0.012542115105288,0.125802090470235
1.99,0.0126995912849127,-0.0147624474594613
2,0.012857075609171,-0.15699236776702
2.01,0.013012117587978,-0.300814553715562
2.02,0.0131624032680262,-0.446139919491457
2.03,0.0133057742422825,-0.59286727789575
2.04,0.0134402415207357,-0.740886615492722
2.05,0.0135639952379993,-0.890081773955656
2.06,0.0136754110698336,-1.04033257154393
2.07,0.0137730541298379,-1.19151642323973
2.08,0.013855680990972,-1.34350952466228
2.09,0.0139222403965727,-1.49618767143656
2.1,0.0139718729515249,-1.64942677534214
2.11,0.0140039102938492,-1.80310314345011
2.12,0.0140178737724565,-1.95709357050016
2.13,0.0140134730342597,-2.1112752941782
2.14,0.0139906044209139,-2.26552585523827
2.15,0.0139493493907518,-2.41972290230724
2.16,0.0138899729674521,-2.57374397663052
2.17,0.0138129222035449,-2.72746630964212
2.18,0.0137188246016582,-2.88076667277571
2.19,0.0136084865555174,-3.03352131759323
2.2,0.013482891495698,3.09757926358741
2.21,0.0133431977627598,2.94628886088919
2.22,0.0131907359125299,2.79591690991423
2.23,0.0130270051962891,2.64658649103119
2.24,0.0128536688642615,2.49841850828991
2.25,0.0126725477338788,2.35153013000314
2.26,0.0124856116517232,2.20603273910332
2.27,0.0122949680144701,2.06202932250281
2.28,0.0121028465964365,1.91961127211793
2.29,0.0119115800410408,1.77885457750489
2.3,0.0117235788478043,1.63981547467316
2.31,0.0115413003734564,1.50252566285628
2.32,0.0113672111381321,1.3669873149019
2.33,0.0112037421510646,1.23316820995086
2.34,0.0110532377778996,1.10099742963503
2.35,0.0109178989888754,0.970362148142404
2.36,0.0107997230646745,0.841106090560929
2.37,0.0107004425148962,0.71303019438495
2.38,0.010621466845023,0.585895872582223
2.39,0.0105638312870409,0.459431032210854
2.4,0.0105281566427607,0.33333868184528
2.41,0.0105146238457337,0.207307603890919
2.42,0.0105229657485303,0.081024260769973
2.43,0.0105524770182792,-0.045815094468843
2.44,0.010602041481775,-0.173493164727617
2.45,0.0106701743934805,-0.302262136840061
2.46,0.0107550762037107,-0.432336638374018
2.47,0.0108546934028172,-0.563889430279992
2.48,0.0109667823755114,-0.697049791265921
2.49,0.0110889722890014,-0.831904280194294
2.5,0.0112188240478845,-0.968499378348694
2.51,0.0113538832289528,-1.10684544398259
2.52,0.0114917258163277,-1.24692142237203
2.53,0.0116299963668528,-1.38867983375116
2.54,0.011766438813131,-1.53205166496974
2.55,0.011898920561394,-1.67695090552516
2.56,0.0120254506959627,-1.82327856881916
2.57,0.0121441932378964,-1.97092612348896
2.58,0.0122534763677123,-2.11977832378465
2.59,0.0123517984781628,-2.26971546452172
2.6,0.0124378317602831,-2.42061511773979
2.61,0.0125104239741006,-2.57235341426659
2.62,0.0125685988859257,-2.72480594134948
2.63,0.0126115557967976,-2.87784832352471
2.64,0.0126386683992043,-3.03135654783267
