"Freq [GHz]","mag(S(Rx_p1,Tx_p1)) []","ang_rad(S(Rx_p1,Tx_p1)) [rad]"
1.56,0.00157513526860201,2.18862604077548
1.57,0.0015728207268171,1.90154507909258
1.58,0.00157046714257645,1.61449707747193
1.59,0.00156807909308728,1.32748396492586
1.6,0.00156566131511618,1.04050748017674
1.61,0.00156321869385594,0.753569165260988
1.62,0.00156075623320445,0.466670355631416
1.63,0.0015582790429255,0.179812178560209
1.64,0.00155579231259493,-0.107004456375778
1.65,0.00155330129392539,-0.393778860199465
1.66,0.00155081127471822,-0.680510569100032
1.67,0.00154832756042814,-0.967199347994176
1.68,0.00154585544843453,-1.25384519258944
1.69,0.0015434002108303,-1.5404483325883
1.7,0.00154096706609029,-1.82700923067618
1.71,0.00153856116058754,-2.11352858366013
1.72,0.00153618754499602,-2.40000732187589
1.73,0.00153385115421867,-2.68644660466343
1.74,0.0015315567827374,-2.97284782102058
1.75,0.00152930906601408,3.02397272473501
1.76,0.00152711245975455,2.7376425883274
1.77,0.00152497121797346,2.45134503478463
1.78,0.00152288937653346,2.16507781733309
1.79,0.00152087073206813,1.87883849391718
1.8,0.00151891882645184,1.59262443490255
1.81,0.00151703692962318,1.30643283494723
1.82,0.001515228026292,1.02026072472889
1.83,0.00151349479737348,0.734104982750094
1.84,0.0015118396112603,0.447962348375306
1.85,0.00151026451229769,0.16182943790341
1.86,0.00150877120802206,-0.124297242319802
1.87,0.00150736106357324,-0.410421279862209
1.88,0.00150603509464583,-0.696546339389751
1.89,0.00150479396053081,-0.982676146865734
1.9,0.00150363796383049,-1.26881447220341
1.91,0.0015025670442836,-1.55496511162245
1.92,0.00150158078206279,-1.84113187116436
1.93,0.00150067839918443,-2.12731854849699
1.94,0.00149985875948767,-2.41352891708263
1.95,0.00149912037739649,-2.69976670629067
1.96,0.00149846142366622,-2.98603558864814
1.97,0.00149787973113303,3.01084614698533
1.98,0.00149737280609314,2.72450438076287
1.99,0.00149693783893441,2.4381210198953
2,0.00149657171805667,2.1516927857078
2.01,0.00149627103953481,1.86521653214695
2.02,0.00149603212695789,1.57868925999528
2.03,0.00149585104280162,1.29210812818833
2.04,0.00149572360942922,1.00547046423605
2.05,0.0014956454229992,0.718773774135973
2.06,0.00149561187545589,0.432015749888365
2.07,0.00149561817054151,0.145194278957059
2.08,0.00149565934662699,-0.14169255171142
2.09,0.00149573029609876,-0.428646448753699
2.1,0.00149582578126976,-0.715668909853967
2.11,0.00149594046431856,-1.00276121866435
2.12,0.00149606891759179,-1.2899244452532
2.13,0.00149620565202682,-1.57715944387076
2.14,0.0014963451348718,-1.86446685312715
2.15,0.00149648180865646,-2.15184709753666
2.16,0.00149661011475457,-2.43930038888738
2.17,0.00149672450762198,-2.72682672928756
2.18,0.00149681948155327,-3.01442591586983
2.19,0.00149688958071001,2.98108776412036
2.2,0.00149692942432422,2.69334429792605
2.21,0.00149693371848044,2.40552978542401
2.22,0.00149689727788602,2.11764520358124
2.23,0.00149681503722645,1.82969170818271
2.24,0.00149668206665706,1.54167062577474
2.25,0.00149649358988438,1.25358344604802
2.26,0.00149624499083608,0.965431814359468
2.27,0.00149593183366305,0.67721752436198
2.28,0.00149554986608361,0.388942508376226
2.29,0.00149509503660927,0.100608829794258
2.3,0.00149456349954589,-0.187781325581958
2.31,0.00149395162674964,-0.476225657996132
2.32,0.00149325601309069,-0.764721762912889
2.33,0.00149247348233247,-1.05326713939295
2.34,0.00149160109640433,-1.34185919833455
2.35,0.00149063615905757,-1.63049527228588
2.36,0.00148957621659072,-1.91917262260361
2.37,0.00148841906598743,-2.20788844854803
2.38,0.00148716275379735,-2.49663989585445
2.39,0.00148580557901976,-2.78542406392721
2.4,0.00148434609267485,-3.07423801494697
2.41,0.00148278310049707,2.92010652585101
2.42,0.00148111565958608,2.63124193419036
2.43,0.00147934307561964,2.34235652139956
2.44,0.00147746490494195,2.05345329912311
2.45,0.00147548094953433,1.76453527917422
2.46,0.00147339125185908,1.47560546641085
