"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
3.975,-14.2053738470104,-2.2934091014833
4.01,-13.9586936370793,-2.40697657048418
4.045,-13.7531450351169,-2.5181488613492
4.08,-13.5866800128501,-2.62729771235388
4.115,-13.457609537557,-2.73474903339463
4.15,-13.3645864256621,-2.84079449653446
4.185,-13.3065891651515,-2.94570060297924
4.22,-13.2829083477234,-3.04971602460824
4.255,-13.2931365962492,3.13010748369635
4.29,-13.3371624895285,3.0271682795788
4.325,-13.4151688053056,2.92442133810221
4.36,-13.5276353247794,2.82163154465802
4.395,-13.6753464009651,2.71855299417519
4.43,-13.8594034310181,2.61492201037111
4.465,-14.081242216464,2.51044864510329
4.5,-14.3426548297113,2.40480594103518
4.535,-14.6458148246828,2.29761597981559
4.57,-14.9933030522424,2.18843134613383
4.605,-15.3881282451939,2.07671005748487
4.64,-15.8337305409188,1.96178116132644
4.675,-16.3339445446536,1.84279699383613
4.71,-16.8928762345537,1.71866647120288
4.745,-17.5146050097555,1.58796189568233
4.78,-18.2025397646392,1.44879049350913
4.815,-18.958103300979,1.29862441187017
4.85,-19.7781463497291,1.13409864729736
4.885,-20.650083177968,0.950840497003957
4.92,-21.5434233181069,0.743542214303967
4.955,-22.3973441578801,0.506804366186886
4.99,-23.1095887102354,0.237645423741582
5.025,-23.5452666733277,-0.0599954762484004
5.06,-23.5892557208847,-0.371731316989503
5.095,-23.2207437017304,-0.676351853704546
5.13,-22.5292610904166,-0.956189032721034
5.165,-21.651155858621,-1.20381877188963
5.2,-20.7029391164513,-1.42037925031672
5.235,-19.7590867408516,-1.61081886434967
5.27,-18.8591112405684,-1.78063034832257
5.305,-18.0206536492327,-1.93453655731
5.34,-17.2494324722627,-2.07623048836198
5.375,-16.5452141295835,-2.20849701454177
5.41,-15.9050544316365,-2.33341592397741
5.445,-15.3249694188777,-2.45254565980251
5.48,-14.8007639992083,-2.56706581972471
5.515,-14.3284233844114,-2.67788151648285
5.55,-13.9042819439625,-2.78569821954535
5.585,-13.5250810750531,-2.89107519241764
5.62,-13.1879736649726,-2.99446379881092
5.655,-12.8905046712605,-3.09623519571199
5.69,-12.6305827983456,3.08648472895642
5.725,-12.4064507010325,2.98705913232418
5.76,-12.2166572360768,2.88844078327032
5.795,-12.0600332767917,2.79042220141363
5.83,-11.9356715986234,2.69281421067235
5.865,-11.8429108617547,2.59544050821845
5.9,-11.7813235091711,2.49813314047133
5.935,-11.7507073311136,2.4007285630721
5.97,-11.7510804466606,2.30306401947549
6.005,-11.7826794791213,2.20497400389019
6.04,-11.8459607277566,2.1062865832502
6.075,-11.9416041424071,2.00681934126614
6.11,-12.0705198646857,1.90637467436033
6.145,-12.2338569718556,1.80473411079804
6.18,-12.4330137847271,1.70165123394534
6.215,-12.6696485706774,1.59684265799647
6.25,-12.9456884974999,1.48997631488982
6.285,-13.2633329382108,1.38065604459105
6.32,-13.6250440960586,1.26840111358243
6.355,-14.0335123519777,1.15261879663874
6.39,-14.4915738432283,1.03256754609087
